"","FIPS","State","County","Age65AndOlderNum2020","Age65AndOlderPct2020","AsianNonHispanicNum2020","AsianNonHispanicPct2020","AvgHHSize","BlackNonHispanicNum2020","BlackNonHispanicPct2020","Deep_Pov_All","Deep_Pov_Children","Ed1LessThanHSNum","Ed1LessThanHSPct","Ed2HSDiplomaOnlyNum","Ed2HSDiplomaOnlyPct","Ed3SomeCollegeNum","Ed3SomeCollegePct","Ed4AssocDegreeNum","Ed4AssocDegreePct","Ed5CollegePlusNum","Ed5CollegePlusPct","ESTIMATESBASE2020","FemaleHHNum","FemaleHHPct","ForeignBornAfricaNum","ForeignBornAfricaPct","ForeignBornAsiaNum","ForeignBornAsiaPct","ForeignBornCaribNum","ForeignBornCaribPct","ForeignBornCentralSouthAmNum","ForeignBornCentralSouthAmPct","ForeignBornEuropeNum","ForeignBornEuropePct","ForeignBornMexNum","ForeignBornMexPct","ForeignBornNum","ForeignBornPct","HH65PlusAloneNum","HH65PlusAlonePct","HispanicNum2020","HispanicPct2020","HispanicPopChangeRate1020","LandAreaSQMiles2020","MedHHInc","Median_HH_Inc_ACS","MultipleRaceNum2020","MultipleRacePct2020","MultipleRacePopChangeRate1020","NativeAmericanNonHispanicNum2020","NativeAmericanNonHispanicPct2020","Natural_Change_Rate_2020_2021","NaturalChange1019","NaturalChangeRate1019","NaturalChg2020_2021","Net_InterMigration_2020_2021","Net_InterMigrationRate_2020_2021","Net_International_Migration_2010_2019","Net_International_Migration_Rate_2010_2019","Net_Migration_2020_2021","Net_Migration_Rate_2020_2021","NetMigration1019","NetMigrationRate1019","NonEnglishHHNum","NonEnglishHHPct","NonHispAsianPopChangeRate1020","NonHispBlackPopChangeRate1020","NonHispNatAmerPopChangeRate1020","NonHispWhitePopChangeRate1020","Num_inPOV_0_17_ACS","NumAll_inPOV_ACS","NumCivEmployed","NumCivLaborforce2007","NumCivLaborForce2008","NumCivLaborForce2009","NumCivLaborforce2010","NumCivLaborForce2011","NumCivLaborForce2012","NumCivLaborforce2013","NumCivLaborforce2014","NumCivLaborforce2015","NumCivLaborforce2016","NumCivLaborforce2017","NumCivLaborforce2018","NumCivLaborforce2019","NumCivLaborForce2020","NumCivLaborforce2021","NumEmployed2007","NumEmployed2008","NumEmployed2009","NumEmployed2010","NumEmployed2011","NumEmployed2012","NumEmployed2013","NumEmployed2014","NumEmployed2015","NumEmployed2016","NumEmployed2017","NumEmployed2018","NumEmployed2019","NumEmployed2020","NumEmployed2021","NumUnemployed2007","NumUnemployed2008","NumUnemployed2009","NumUnemployed2010","NumUnemployed2011","NumUnemployed2012","NumUnemployed2013","NumUnemployed2014","NumUnemployed2015","NumUnemployed2016","NumUnemployed2017","NumUnemployed2018","NumUnemployed2019","NumUnemployed2020","NumUnemployed2021","OwnHomeNum","OwnHomePct","PctEmpAgriculture","PctEmpChange0710","PctEmpChange0721","PctEmpChange1021","PctEmpChange1920","PctEmpChange2021","PctEmpConstruction","PctEmpFIRE","PctEmpGovt","PctEmpInformation","PctEmpManufacturing","PctEmpMining","PctEmpServices","PctEmpTrade","PctEmpTrans","PCTPOV017","PCTPOVALL","PerCapitaInc","Pop_change_Rate_2020_2021","PopChangeRate1019","PopChangeRate1020","PopDensity2020","POPESTIMATE2020","POPESTIMATE2021","POV017","POVALL","Poverty_Rate_0_17_ACS","Poverty_Rate_ACS","TotalHH","TotalOccHU","TotalPop2020","TotalPop25Plus","TotalPopACS","TotalPopEst2010","TotalPopEst2011","TotalPopEst2012","TotalPopEst2013","TotalPopEst2014","TotalPopEst2015","TotalPopEst2016","TotalPopEst2017","TotalPopEst2018","TotalPopEst2019","TotalPopEstBase2010","Under18Num2020","Under18Pct2020","UnempRate2007","UnempRate2008","UnempRate2009","UnempRate2010","UnempRate2011","UnempRate2012","UnempRate2013","UnempRate2014","UnempRate2015","UnempRate2016","UnempRate2017","UnempRate2018","UnempRate2019","UnempRate2020","UnempRate2021","WhiteNonHispanicNum2020","WhiteNonHispanicPct2020"
"1",5000,"AR","Arkansas",516321,17.14484095,51210,1.700467936,2.53,449884,14.93874862,6.657135479,9.283018868,248721,12.30506261,688732,34.07388351,437893,21.66403633,154675,7.652291359,491269,24.30472619,3011524,151422,13.07097353,4330,0.144030437,34471,1.146621987,2234,0.074310392,88206,2.934029736,9781,0.325349124,60059,1.997765366,148159,4.928269183,136472,11.78046717,256847,8.528804685,38.05267401,51992.84726,52577,52123,213575,7.091924222,274.6272584,20549,0.68234555,-0.107428644,64229,2.198,-3236,824,0.027355131,22379,0.766,16895,0.560879773,31611,1.082,18054,1.558448285,43.6586529,0.622229379,1.813407323,-5.057307006,151704,468113,1310863,1350811,1357716,1353340,1353635,1357819,1349888,1331609,1327959,1339301,1343891,1348088,1351686,1365790,1356579,1332620,1277902,1284175,1248691,1247059,1250431,1251883,1237609,1249766,1272785,1290430,1297854,1302629,1318465,1274070,1278984,72909,73541,104649,106576,107388,98005,94000,78193,66516,53461,50234,49057,47325,82509,53636,765297,66.06158176,2.17452167,-2.4,0.1,2.6,-3.4,0.4,7.140563125,4.985418003,4.45691121,1.296855583,13.2457015,0.408356937,44.85365748,15.43395458,6.004059921,21.8,16,29210,0.453451129,3.28,3.278761611,57.92189038,3012232,3025891,150353,471195,21.89169883,16.01078757,1158460,1158460,3011524,2021290,3006309,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,2916031,699251,23.21917408,5.4,5.4,7.7,7.9,7.9,7.3,7.1,5.9,5,4,3.7,3.6,3.5,6.1,4,2063550,68.52178498
"2",5001,"AR","Arkansas",3408,19.87287889,94,0.548136918,2.58,4138,24.12968686,4.95969877,3.45704118,1596,13.31331331,5020,41.87520854,1962,16.36636637,1423,11.87020354,1987,16.57490824,17149,644,9.764973465,20,0.115787646,8,0.046315058,0,0,124,0.717883402,8,0.046315058,104,0.602095756,167,0.96682684,849,12.87338893,636,3.70867106,23.97660819,992.1405999,50928,55022,743,4.332614147,198.3935743,34,0.198262289,-0.438468284,-7,-0.037,-75,1,0.005846244,45,0.237,-308,-1.800643087,-1516,-7.975,46,0.697498105,2.173913043,-10.7034959,9.677419355,-14.32906521,649,2784,7762,11833,11999,12240,11273,10509,9958,9647,9545,9534,9284,8967,9069,9481,9436,9424,10784,10835,10347,9251,9286,9120,8959,9045,9142,8967,8673,8770,9204,9058,9108,1049,1164,1893,2022,1223,838,688,500,392,317,294,299,277,378,316,4400,66.71721001,9.134243752,-14.2,-15.5,-1.5,-1.6,0.6,5.591342438,2.653955166,5.191960835,1.223911363,23.48621489,0.141716053,34.34681783,12.3164133,5.913424375,25.1,17.7,28815,-2.239111371,-8.012,-9.83227299,17.28484854,17105,16722,964,2923,16.49720386,16.37936106,6595,6595,17149,11988,17273,19009,18871,18964,18755,18479,18330,18154,17872,17726,17486,19007,3856,22.48527611,8.9,9.7,15.5,17.9,11.6,8.4,7.1,5.2,4.1,3.4,3.3,3.3,2.9,4,3.4,11575,67.49664703
"3",5003,"AR","Ashley",3988,20.92120449,41,0.215087609,2.65,4644,24.36260623,7.914867045,12.07366985,1988,14.82365223,6823,50.87614645,2193,16.35224815,795,5.927969577,1612,12.0199836,19062,726,10.02900953,0,0,10,0.051647557,0,0,472,2.437764694,3,0.015494267,395,2.040078504,496,2.561718831,1100,15.19546899,1114,5.844087714,4.209541628,925.4916814,44030,42683,707,3.708949743,185.0806452,25,0.131150981,-0.443037975,-63,-0.289,-84,0,0,-34,-0.156,-202,-1.065400844,-2109,-9.661,83,1.146567205,2.5,-17.35184196,-52.83018868,-14.87148514,1286,3957,7064,9359,9342,9302,9896,10004,9490,9154,8736,8397,7966,7865,7826,7707,7178,6801,8586,8638,8334,8949,8953,8394,8204,7962,7771,7477,7424,7417,7300,6506,6301,773,704,968,947,1051,1096,950,774,626,489,441,409,407,672,500,5339,73.75328084,9.385617214,4.2,-26.6,-29.6,-10.9,-3.2,8.578708947,2.36409966,6.228765572,0.70781427,15.57191393,0.311438279,39.38278596,10.58890147,6.8799547,31.2,21.3,25641,-1.508438819,-9.95,-12.77170183,20.59661949,18960,18674,1297,3950,29.24056389,20.59114326,7239,7239,19062,13411,19362,21829,21673,21515,21278,20956,20838,20530,20311,20012,19657,21845,4326,22.69436575,8.3,7.5,10.4,9.6,10.5,11.5,10.4,8.9,7.5,6.1,5.6,5.2,5.3,9.4,7.4,12685,66.54600776
"4",5005,"AR","Baxter",12744,30.61474524,234,0.562135153,2.18,88,0.211401254,4.304902128,4.045441951,3593,11.34583807,10992,34.71011747,7771,24.53896678,3420,10.79954528,5892,18.6055324,41627,1491,7.916113618,2,0.004822066,111,0.26762465,0,0,250,0.602758222,362,0.872793905,120,0.289323946,779,1.878194619,3569,18.9487656,1058,2.541619622,53.77906977,553.9255939,45116,43530,2223,5.34028395,268.0463576,218,0.523698561,-1.293962309,-2936,-7.073,-539,-4,-0.009602689,22,0.053,1028,2.467891009,3358,8.09,34,0.180514999,43.55828221,49.15254237,0.460829493,-4.488289781,1371,5750,15127,17509,17478,17254,16596,16523,16446,16158,16104,16288,16130,16364,16378,16330,16576,16287,16545,16433,15669,15088,15057,15116,14890,15052,15407,15435,15663,15712,15690,15584,15681,964,1045,1585,1508,1466,1330,1268,1052,881,695,701,666,640,992,606,14251,75.66233077,1.203146691,-8.8,-5.2,3.9,-0.7,0.6,7.033780657,5.85707675,3.239241092,0.707344483,17.76294044,0.231374364,43.84874727,16.71183976,3.404508495,18.7,13.4,28726,1.1739287,1.017,0.274612772,75.14908223,41655,42144,1387,5565,18.99418121,14.01652731,18835,18835,41627,31668,41476,41510,41349,41080,40983,40888,41138,41131,41308,41624,41932,41511,7269,17.46222404,5.5,6,9.2,9.1,8.9,8.1,7.8,6.5,5.4,4.3,4.3,4.1,3.9,6,3.7,38049,91.4046172
"5",5007,"AR","Benton",37977,13.35652211,13602,4.783827414,2.73,4523,1.590740435,3.288692691,4.858903845,18811,10.28597988,53695,29.36078303,35039,19.15955818,12124,6.629483815,63211,34.5641951,284333,10204,10.09207885,655,0.234957349,8282,2.970865289,833,0.298808354,20390,7.314168466,1267,0.454490017,12937,4.640676677,33203,11.91036467,7807,7.721370007,50540,17.77493291,47.42000408,847.7207918,78974,76887,31411,11.04725797,431.8489672,3799,1.336109421,0.378204524,16087,7.227,1083,196,0.068446987,5399,2.426,6256,2.184716067,40461,18.177,2770,2.73961764,117.806245,70.87268606,10.43604651,13.06329412,8317,22245,137111,103619,105357,107277,107052,109127,111298,112548,116340,122348,128130,132441,134603,139195,141515,141991,99669,101031,100476,100219,102361,104879,106367,111104,117802,124390,128502,130752,135616,135182,137993,3950,4326,6801,6833,6766,6419,6181,5236,4546,3740,3939,3851,3579,6333,3998,67711,66.96832132,1.116613547,0.6,38.5,37.7,-0.3,2.1,7.493198941,4.665562938,2.174880207,0.829984465,13.17108037,0.267666343,40.08795793,24.73908002,5.453975246,10.9,7.9,39045,2.562920591,25.404,28.46041592,335.4087841,286353,293692,8074,22890,11.49360161,8.075611979,101109,101109,284333,182880,278774,222593,229171,234938,239461,244841,251591,259212,266585,272266,279141,221348,75729,26.63391165,3.8,4.1,6.3,6.4,6.2,5.8,5.5,4.5,3.7,2.9,3,2.9,2.6,4.5,2.8,191761,67.44240028
"6",5009,"AR","Boone",7788,20.8385733,233,0.623444733,2.44,96,0.256869933,5.103148751,6.088738847,2849,10.88817549,8849,33.81869602,7054,26.95864863,2766,10.57096996,4648,17.7635099,37373,1385,9.117840685,0,0,239,0.638269462,0,0,165,0.440646281,126,0.336493524,161,0.429963947,538,1.436773935,1891,12.44897959,973,2.603483798,44.3620178,589.7229408,48700,48625,2328,6.229095871,259.8145286,265,0.709068044,-0.508674234,83,0.225,-190,-2,-0.005354466,-80,-0.217,668,1.788391519,456,1.236,41,0.269914417,52.2875817,50,7.287449393,-3.944335354,1215,4900,16263,16758,16832,16919,16502,16613,16590,16140,15780,15909,15957,15794,15893,16070,15857,15782,15895,15920,15666,15259,15354,15376,15037,14858,15145,15370,15249,15345,15570,15019,15313,863,912,1253,1243,1259,1214,1103,922,764,587,545,548,500,838,469,10703,70.46082949,1.758593126,-4,-3.7,0.4,-3.5,2,8.159626145,4.667035602,2.816208572,1.494189264,11.40625961,0.245957081,43.96482814,11.91047162,13.57683084,19.7,13,25850,1.279717284,1.461,1.273609192,63.37382763,37352,37830,1665,4860,14.64914396,13.30076004,15190,15190,37373,26166,37445,36893,37086,37333,37328,37116,37119,37259,37459,37385,37432,36920,8290,22.18178899,5.1,5.4,7.4,7.5,7.6,7.3,6.8,5.8,4.8,3.7,3.5,3.4,3.1,5.3,3,33753,90.31386295
"7",5011,"AR","Bradley",1992,18.89046942,27,0.256045519,2.81,2921,27.70033191,5.43654194,6.964217007,1151,15.8736726,3111,42.90442698,1575,21.72114191,506,6.978347814,908,12.5224107,10545,513,13.8424177,0,0,0,0,0,0,799,7.539869775,0,0,799,7.539869775,799,7.539869775,507,13.68051808,1575,14.93598862,3.89182058,649.1671066,40454,41972,440,4.172593646,183.8709677,29,0.275011854,-0.009525624,-149,-1.299,-1,1,0.009525624,-19,-0.166,-89,-0.84778053,-558,-4.865,29,0.782514841,8,-7.76760341,93.33333333,-14.49970042,463,1550,3993,5722,5549,5461,5157,4695,4531,4298,4349,4575,4491,4456,4481,4482,4368,4056,5368,5152,4936,4637,4153,4062,3900,4008,4314,4265,4252,4289,4301,4110,3865,354,397,525,520,542,469,398,341,261,226,204,192,181,258,191,2405,64.89476525,11.19459053,-13.6,-28,-16.6,-4.4,-6,8.665164037,5.484598047,3.856749311,0.851490108,19.48409717,0.15026296,38.24192337,9.541697972,2.529426496,26.8,19.6,23162,-0.857306154,-6.164,-8.368091762,16.24389143,10498,10408,677,2011,17.81454406,14.75768828,3706,3706,10545,7251,10597,11470,11432,11266,11120,11007,10999,10959,10813,10838,10763,11505,2688,25.49075391,6.2,7.2,9.6,10.1,11.5,10.4,9.3,7.8,5.7,5,4.6,4.3,4,5.9,4.7,5708,54.12991939
"8",5013,"AR","Calhoun",1022,21.56573117,5,0.105507491,3.16,913,19.26566786,4.459142309,4.714912281,543,15.79406632,1490,43.33915067,681,19.80802792,303,8.813263525,421,12.24549156,4739,92,6.212018906,10,0.207856994,0,0,0,0,66,1.371856163,0,0,57,1.184784868,76,1.579713157,211,14.24713032,127,2.679890272,-16.44736842,628.6005499,49977,55904,208,4.389111627,177.3333333,3,0.063304495,-0.423280423,-153,-2.853,-20,0,0,-2,-0.037,36,0.761904762,-20,-0.373,4,0.270087779,-54.54545455,-23.27731092,-70,-11.1703478,122,466,1866,2603,2580,2572,2701,2642,2536,2453,2397,2429,2396,2410,2441,2437,2416,2392,2425,2422,2358,2474,2402,2317,2259,2244,2300,2286,2316,2349,2332,2289,2312,178,158,214,227,240,219,194,153,129,110,94,92,105,127,80,1255,84.74004051,4.126473741,2,-4.7,-6.5,-1.8,1,11.36120043,1.875669882,8.628081458,0.857449089,12.9153269,4.769560557,34.19078242,14.36227224,6.91318328,19.3,14.6,25482,0.338624339,-3.226,-11.71758569,7.538968906,4725,4741,169,672,13.37719298,9.942393855,1481,1481,4739,3438,4811,5362,5243,5278,5192,5167,5200,5143,5201,5227,5189,5368,958,20.21523528,6.8,6.1,8.3,8.4,9.1,8.6,7.9,6.4,5.3,4.6,3.9,3.8,4.3,5.3,3.3,3499,73.83414222
"9",5015,"AR","Carroll",6640,23.49610757,564,1.995753715,2.5,88,0.311394197,5.208931649,4.97641893,2948,14.79102905,7009,35.16632382,4208,21.1128393,1377,6.908835482,4389,22.02097235,28260,1301,11.6493553,7,0.024863252,110,0.390708248,19,0.06748597,1878,6.670455353,75,0.266391987,1190,4.226752859,2353,8.357604603,1595,14.28187679,4306,15.23708422,23.41645171,629.9379538,49225,53366,2358,8.343949045,280.9369952,253,0.895258316,-0.216296717,26,0.094,-61,14,0.049641869,301,1.092,294,1.042479257,801,2.907,289,2.587750716,252.5,18.91891892,12.94642857,-8.182291215,1066,3982,11779,13830,14082,13961,12601,12852,12539,12360,12641,12711,12891,12990,12604,12830,12735,12708,13223,13454,13122,11711,11968,11778,11637,12001,12138,12432,12554,12204,12439,12013,12279,607,628,839,890,884,761,723,640,573,459,436,400,391,722,429,8485,75.97600287,7.606757789,-11.4,-7.1,4.9,-3.4,2.2,9.406571016,5.356991256,2.292214959,2.046014093,23.77111809,0,34.78223958,10.93471432,3.803378895,24.7,16.8,27416,0.82618254,3.001,2.965823799,44.8615611,28202,28435,1501,4717,17.33615222,14.29494543,11168,11168,28260,19931,28154,27553,27466,27623,27791,27734,27755,27728,27865,28097,28380,27449,6178,21.86128804,4.4,4.5,6,7.1,6.9,6.1,5.8,5.1,4.5,3.6,3.4,3.2,3,5.7,3.4,21175,74.92922859
"10",5017,"AR","Chicot",2210,21.64968652,38,0.372257053,2.43,5387,52.77233542,16.65644799,26.34989201,1537,21.60528535,2725,38.30475119,1443,20.28394715,359,5.046387405,1050,14.7596289,10208,620,15.44593921,0,0,8,0.076886112,0,0,249,2.39308025,35,0.336376742,244,2.34502643,301,2.892839981,744,18.53512706,581,5.69161442,7.195571956,636.97773,34857,33770,341,3.340517241,270.6521739,26,0.254702194,-0.907029478,-178,-1.509,-92,0,0,65,0.551,-32,-0.315488514,-1503,-12.738,21,0.523168909,-28.30188679,-15.12525603,13.04347826,-18.35748792,917,2895,3045,4931,4902,4851,4271,4261,4074,3863,3877,3743,3590,3465,3355,3254,3213,3084,4517,4500,4318,3763,3726,3628,3425,3480,3408,3353,3238,3130,3034,2876,2820,414,402,533,508,535,446,438,397,335,237,227,225,220,337,264,2727,67.93721973,9.392446634,-16.7,-37.6,-25.1,-5.2,-1.9,6.732348112,4.302134647,8.998357964,0.853858785,18.52216749,0,36.22331691,11.95402299,3.02134647,37,27.9,21820,-1.222517993,-14.247,-13.49152542,16.02567801,10143,10019,807,2594,39.6112311,29.58307787,4014,4014,10208,7114,10405,11799,11703,11498,11362,11211,10970,10899,10647,10442,10118,11800,2203,21.58111285,8.4,8.2,11,11.9,12.6,10.9,11.3,10.2,9,6.6,6.6,6.7,6.8,10.5,8.6,3887,38.07797806
"11",5019,"AR","Clark",3551,16.55786627,150,0.699431129,2.38,5068,23.63144642,9.595933399,13.1236176,1193,9.464498215,4037,32.02697342,3196,25.35501785,663,5.259817533,3516,27.89369298,21446,1022,12.68619662,13,0.060271686,68,0.315267282,0,0,243,1.126616904,64,0.296722148,182,0.843803607,408,1.891603691,986,12.23932473,1092,5.091858622,17.92656587,865.9712597,47158,45351,1113,5.18977898,223.5465116,76,0.354378439,-0.346409512,-80,-0.349,-74,8,0.037449677,93,0.406,33,0.154479918,-525,-2.29,87,1.079940417,25,-5.553484905,-9.523809524,-12.88248748,1043,3928,9602,10921,10913,10737,10366,10411,10341,10155,9749,9663,9589,9574,9689,9703,9263,8805,10301,10271,9880,9526,9392,9355,9280,9100,9144,9173,9199,9337,9341,8711,8390,620,642,857,840,1019,986,875,649,519,416,375,352,362,552,415,4803,59.62015889,3.145178088,-7.5,-18.6,-11.9,-6.7,-3.7,5.44678192,3.290981046,3.009789627,0.520724849,11.83086857,0.114559467,53.35346803,13.08060821,6.2070402,24.7,20,23773,-0.191929595,-2.639,-6.73624701,24.76525607,21362,21321,1013,3699,25.63283362,20.37450075,8056,8056,21446,12605,21569,22925,22928,22755,22582,22557,22513,22602,22184,22313,22320,22991,4045,18.86132612,5.7,5.9,8,8.1,9.8,9.5,8.6,6.7,5.4,4.3,3.9,3.6,3.7,6,4.7,14093,65.71388604
"12",5021,"AR","Clay",3093,21.25481034,14,0.096206707,2.37,40,0.274876306,6.780477731,13.16964286,1625,15.70503528,4430,42.81434232,2029,19.60954866,815,7.876679231,1448,13.99439451,14552,699,11.36215865,0,0,7,0.04774572,0,0,15,0.102312257,9,0.061387354,4,0.027283269,31,0.211445331,1105,17.96163849,327,2.247113799,50.69124424,639.2237879,41419,39817,615,4.2262232,204.4554455,44,0.302363936,-0.696167632,-604,-3.763,-101,0,0,-10,-0.062,-57,-0.392886683,-895,-5.576,0,0,-22.22222222,-28.57142857,10,-12.85870193,864,2728,6329,6664,6598,6640,7464,7263,6884,6562,6459,6323,6048,5883,5801,5674,5546,5391,6037,6071,5897,6673,6420,6156,5938,5964,5911,5706,5614,5551,5403,5209,5178,627,527,743,791,843,728,624,495,412,342,269,250,271,337,213,4344,70.61118336,8.058145047,10.5,-14.2,-22.4,-3.6,-0.6,5.150892716,5.593300679,3.397061147,1.106019908,13.66724601,0.426607679,41.57054827,15.64228156,5.387896982,26,17.9,23747,-1.089054315,-9.34,-9.519368277,22.76511024,14508,14350,794,2543,27.55102041,18.77882564,6152,6152,14552,10347,14661,16050,15876,15710,15484,15299,15206,15060,14865,14763,14551,16083,3168,21.77020341,9.4,8,11.2,10.6,11.6,10.6,9.5,7.7,6.5,5.7,4.6,4.3,4.8,6.1,4,13574,93.27927433
